Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
1.2.0,org.apache.sshd.agent.common,AbstractAgentClient,messageReceived,Magic Number,The method contains a magic number: 4
1.2.0,org.apache.sshd.agent.common,AbstractAgentClient,messageReceived,Magic Number,The method contains a magic number: 4
1.2.0,org.apache.sshd.agent.common,AbstractAgentClient,messageReceived,Magic Number,The method contains a magic number: 4
1.2.0,org.apache.sshd.agent.common,AbstractAgentClient,messageReceived,Magic Number,The method contains a magic number: 4
1.2.0,org.apache.sshd.agent.common,AbstractAgentClient,process,Complex Method,Cyclomatic complexity of the method is 10
1.2.0,org.apache.sshd.agent.common,AbstractAgentClient,process,Long Statement,The length of the statement "log.debug("SSH2_AGENTC_SIGN_REQUEST key={}` flags=0x{}` data={}"`signingKey.getAlgorithm()`Integer.toHexString(flags)`BufferUtils.toHex(':'`data));" is 147.
1.2.0,org.apache.sshd.agent.common,AbstractAgentClient,process,Long Statement,The length of the statement "String keyType=ValidateUtils.checkNotNullAndNotEmpty(KeyUtils.getKeyType(signingKey)`"Cannot resolve key type of %s"`signingKey.getClass().getSimpleName());" is 156.
1.2.0,org.apache.sshd.agent.common,AbstractAgentClient,process,Missing default,The following switch statement is missing a default case: switch (cmd) {
1.2.0,org.apache.sshd.agent.common,AbstractAgentClient,prepare,Magic Number,The method contains a magic number: 4
1.2.0,org.apache.sshd.agent.common,AbstractAgentClient,prepare,Magic Number,The method contains a magic number: 4
1.2.0,org.apache.sshd.agent.common,AbstractAgentProxy,getIdentities,Long Statement,The length of the statement "log.debug("getIdentities() key type={}` comment={}` fingerprint={}"`KeyUtils.getKeyType(key)`comment`KeyUtils.getFingerPrint(key));" is 131.
1.2.0,org.apache.sshd.agent.common,AbstractAgentProxy,getIdentities,Magic Number,The method contains a magic number: 1024
1.2.0,org.apache.sshd.agent.common,AbstractAgentProxy,sign,Long Statement,The length of the statement "log.debug("sign({})[{}] {}: {}"`KeyUtils.getKeyType(key)`KeyUtils.getFingerPrint(key)`algorithm`BufferUtils.toHex(':'`signature));" is 130.
1.2.0,org.apache.sshd.agent.common,AbstractAgentProxy,addIdentity,Long Statement,The length of the statement "throw new SshException("Bad addIdentity response (" + SshAgentConstants.getCommandMessageName(response) + ") - available="+ available);" is 135.
1.2.0,org.apache.sshd.agent.common,AbstractAgentProxy,removeIdentity,Long Statement,The length of the statement "throw new SshException("Bad removeIdentity response (" + SshAgentConstants.getCommandMessageName(response) + ") - available="+ available);" is 138.
